x,y,f
0.817708,0.015625,-2.569635
0.828125,0.015625,-2.546705
0.838542,0.015625,-2.523774
0.848958,0.015625,-2.500844
0.859375,0.015625,-2.477913
0.869792,0.015625,-2.454982
0.880208,0.015625,-2.432052
0.890625,0.015625,-2.409121
0.901042,0.015625,-2.386190
0.911458,0.015625,-2.363260
0.921875,0.015625,-2.340329
0.932292,0.015625,-2.317398
0.942708,0.015625,-2.294468
0.953125,0.015625,-2.271537
0.963542,0.015625,-2.248607
0.973958,0.015625,-2.225676
0.984375,0.015625,-2.202745
0.994792,0.015625,-2.179815
0.005208,0.026042,-5.996252
0.015625,0.026042,-5.921777
0.026042,0.026042,-5.847302
0.036458,0.026042,-5.772828
0.046875,0.026042,-5.698353
0.057292,0.026042,-5.623878
0.067708,0.026042,-5.549403
0.078125,0.026042,-5.474928
0.088542,0.026042,-5.400453
0.098958,0.026042,-5.325978
0.109375,0.026042,-5.251503
0.119792,0.026042,-5.177029
0.130208,0.026042,-5.123754
0.140625,0.026042,-5.091680
0.151042,0.026042,-5.059607
0.161458,0.026042,-5.027533
0.171875,0.026042,-4.995459
0.182292,0.026042,-4.963386
0.192708,0.026042,-4.934441
0.203125,0.026042,-4.908625
0.213542,0.026042,-4.882810
0.223958,0.026042,-4.856994
0.234375,0.026042,-4.831178
0.244792,0.026042,-4.805363
0.255208,0.026042,-4.761410
0.265625,0.026042,-4.699321
0.276042,0.026042,-4.637232
0.286458,0.026042,-4.575143
0.296875,0.026042,-4.513053
0.307292,0.026042,-4.450964
0.317708,0.026042,-4.388875
0.328125,0.026042,-4.326786
0.338542,0.026042,-4.264696
0.348958,0.026042,-4.202607
0.359375,0.026042,-4.140518
0.369792,0.026042,-4.078429
0.380208,0.026042,-4.005678
0.390625,0.026042,-3.922267
0.401042,0.026042,-3.838855
0.411458,0.026042,-3.755444
0.421875,0.026042,-3.672032
0.432292,0.026042,-3.588620
0.442708,0.026042,-3.526595
0.453125,0.026042,-3.485955
0.463542,0.026042,-3.445315
0.473958,0.026042,-3.404675
0.484375,0.026042,-3.364036
0.494792,0.026042,-3.323396
0.505208,0.026042,-3.291633
0.515625,0.026042,-3.268746
0.526042,0.026042,-3.245860
0.536458,0.026042,-3.222973
0.546875,0.026042,-3.200087
0.557292,0.026042,-3.177200
0.567708,0.026042,-3.154314
0.578125,0.026042,-3.131428
0.588542,0.026042,-3.108541
0.598958,0.026042,-3.085655
0.609375,0.026042,-3.062768
0.619792,0.026042,-3.039882
0.630208,0.026042,-3.016995
0.640625,0.026042,-2.994109
0.651042,0.026042,-2.971222
0.661458,0.026042,-2.948336
0.671875,0.026042,-2.925449
0.682292,0.026042,-2.902563
0.692708,0.026042,-2.879676
0.703125,0.026042,-2.856790
0.713542,0.026042,-2.833904
0.723958,0.026042,-2.811017
0.734375,0.026042,-2.788131
0.744792,0.026042,-2.765244
0.755208,0.026042,-2.742358
0.765625,0.026042,-2.719471
0.776042,0.026042,-2.696585
0.786458,0.026042,-2.673698
0.796875,0.026042,-2.650812
0.807292,0.026042,-2.627925
0.817708,0.026042,-2.605039
0.828125,0.026042,-2.582152
0.838542,0.026042,-2.559266
0.848958,0.026042,-2.536380
0.859375,0.026042,-2.513493
0.869792,0.026042,-2.490607
0.880208,0.026042,-2.467720
0.890625,0.026042,-2.444834
0.901042,0.026042,-2.421947
0.911458,0.026042,-2.399061
0.921875,0.026042,-2.376174
0.932292,0.026042,-2.353288
0.942708,0.026042,-2.330401
0.953125,0.026042,-2.307515
0.963542,0.026042,-2.284628
0.973958,0.026042,-2.261742
0.984375,0.026042,-2.238856
0.994792,0.026042,-2.215969
0.005208,0.036458,-6.052435
0.015625,0.036458,-5.970474
0.026042,0.036458,-5.888513
0.036458,0.036458,-5.806552
0.046875,0.036458,-5.724591
0.057292,0.036458,-5.642630
0.067708,0.036458,-5.560669
0.078125,0.036458,-5.478708
0.088542,0.036458,-5.396747
0.098958,0.036458,-5.314786
0.109375,0.036458,-5.232824
0.119792,0.036458,-5.150863
0.130208,0.036458,-5.098850
0.140625,0.036458,-5.076784
0.151042,0.036458,-5.054717
0.161458,0.036458,-5.032651
0.171875,0.036458,-5.010585
0.182292,0.036458,-4.988519
0.192708,0.036458,-4.963399
0.203125,0.036458,-4.935225
0.213542,0.036458,-4.907050
0.223958,0.036458,-4.878876
0.234375,0.036458,-4.850702
0.244792,0.036458,-4.822528
0.255208,0.036458,-4.777767
0.265625,0.036458,-4.716418
0.276042,0.036458,-4.655069
0.286458,0.036458,-4.593719
0.296875,0.036458,-4.532370
0.307292,0.036458,-4.471021
0.317708,0.036458,-4.409672
0.328125,0.036458,-4.348323
0.338542,0.036458,-4.286974
0.348958,0.036458,-4.225625
0.359375,0.036458,-4.164276
0.369792,0.036458,-4.102927
0.380208,0.036458,-4.026652
0.390625,0.036458,-3.935452
0.401042,0.036458,-3.844252
0.411458,0.036458,-3.753051
0.421875,0.036458,-3.661851
0.432292,0.036458,-3.570651
0.442708,0.036458,-3.509391
0.453125,0.036458,-3.478071
0.463542,0.036458,-3.446751
0.473958,0.036458,-3.415432
0.484375,0.036458,-3.384112
0.494792,0.036458,-3.352792
0.505208,0.036458,-3.325711
0.515625,0.036458,-3.302869
0.526042,0.036458,-3.280026
0.536458,0.036458,-3.257184
0.546875,0.036458,-3.234342
0.557292,0.036458,-3.211500
0.567708,0.036458,-3.188657
0.578125,0.036458,-3.165815
0.588542,0.036458,-3.142973
0.598958,0.036458,-3.120130
0.609375,0.036458,-3.097288
0.619792,0.036458,-3.074446
0.630208,0.036458,-3.051604
0.640625,0.036458,-3.028761
0.651042,0.036458,-3.005919
0.661458,0.036458,-2.983077
0.671875,0.036458,-2.960234
0.682292,0.036458,-2.937392
0.692708,0.036458,-2.914550
0.703125,0.036458,-2.891708
0.713542,0.036458,-2.868865
0.723958,0.036458,-2.846023
0.734375,0.036458,-2.823181
0.744792,0.036458,-2.800338
0.755208,0.036458,-2.777496
0.765625,0.036458,-2.754654
0.776042,0.036458,-2.731812
0.786458,0.036458,-2.708969
0.796875,0.036458,-2.686127
0.807292,0.036458,-2.663285
0.817708,0.036458,-2.640442
0.828125,0.036458,-2.617600
0.838542,0.036458,-2.594758
0.848958,0.036458,-2.571916
0.859375,0.036458,-2.549073
0.869792,0.036458,-2.526231
0.880208,0.036458,-2.503389
0.890625,0.036458,-2.480546
0.901042,0.036458,-2.457704
0.911458,0.036458,-2.434862
0.921875,0.036458,-2.412020
0.932292,0.036458,-2.389177
0.942708,0.036458,-2.366335
0.953125,0.036458,-2.343493
0.963542,0.036458,-2.320650
0.973958,0.036458,-2.297808
0.984375,0.036458,-2.274966
0.994792,0.036458,-2.252124
0.005208,0.046875,-6.108618
0.015625,0.046875,-6.019171
0.026042,0.046875,-5.929723
0.036458,0.046875,-5.840276
0.046875,0.046875,-5.750829
0.057292,0.046875,-5.661382
0.067708,0.046875,-5.571934
0.078125,0.046875,-5.482487
0.088542,0.046875,-5.393040
0.098958,0.046875,-5.303593
0.109375,0.046875,-5.214146
0.119792,0.046875,-5.124698
0.130208,0.046875,-5.073945
0.140625,0.046875,-5.061887
0.151042,0.046875,-5.049828
0.161458,0.046875,-5.037769
0.171875,0.046875,-5.025711
0.182292,0.046875,-5.013652
0.192708,0.046875,-4.992356
0.203125,0.046875,-4.961824
0.213542,0.046875,-4.931291
0.223958,0.046875,-4.900759
0.234375,0.046875,-4.870226
0.244792,0.046875,-4.839694
0.255208,0.046875,-4.794123
0.265625,0.046875,-4.733514
0.276042,0.046875,-4.672905
0.286458,0.046875,-4.612296
0.296875,0.046875,-4.551687
0.307292,0.046875,-4.491078
0.317708,0.046875,-4.430470
0.328125,0.046875,-4.369861
0.338542,0.046875,-4.309252
0.348958,0.046875,-4.248643
0.359375,0.046875,-4.188034
0.369792,0.046875,-4.127425
0.380208,0.046875,-4.047626
0.390625,0.046875,-3.948637
0.401042,0.046875,-3.849648
0.411458,0.046875,-3.750659
0.421875,0.046875,-3.651670
0.432292,0.046875,-3.552681
0.442708,0.046875,-3.492187
0.453125,0.046875,-3.470187
0.463542,0.046875,-3.448187
0.473958,0.046875,-3.426188
0.484375,0.046875,-3.404188
0.494792,0.046875,-3.382188
0.505208,0.046875,-3.359789
0.515625,0.046875,-3.336991
0.526042,0.046875,-3.314193
0.536458,0.046875,-3.291395
0.546875,0.046875,-3.268597
0.557292,0.046875,-3.245799
0.567708,0.046875,-3.223001
0.578125,0.046875,-3.200202
0.588542,0.046875,-3.177404
0.598958,0.046875,-3.154606
0.609375,0.046875,-3.131808
0.619792,0.046875,-3.109010
0.630208,0.046875,-3.086212
0.640625,0.046875,-3.063414
0.651042,0.046875,-3.040616
0.661458,0.046875,-3.017818
0.671875,0.046875,-2.995019
0.682292,0.046875,-2.972221
0.692708,0.046875,-2.949423
0.703125,0.046875,-2.926625
0.713542,0.046875,-2.903827
0.723958,0.046875,-2.881029
0.734375,0.046875,-2.858231
0.744792,0.046875,-2.835433
0.755208,0.046875,-2.812635
0.765625,0.046875,-2.789836
0.776042,0.046875,-2.767038
0.786458,0.046875,-2.744240
0.796875,0.046875,-2.721442
0.807292,0.046875,-2.698644
0.817708,0.046875,-2.675846
0.828125,0.046875,-2.653048
0.838542,0.046875,-2.630250
0.848958,0.046875,-2.607452
0.859375,0.046875,-2.584653
0.869792,0.046875,-2.561855
0.880208,0.046875,-2.539057
0.890625,0.046875,-2.516259
0.901042,0.046875,-2.493461
0.911458,0.046875,-2.470663
0.921875,0.046875,-2.447865
0.932292,0.046875,-2.425067
0.942708,0.046875,-2.402269
0.953125,0.046875,-2.379470
0.963542,0.046875,-2.356672
0.973958,0.046875,-2.333874
0.984375,0.046875,-2.311076
0.994792,0.046875,-2.288278
0.005208,0.057292,-6.164800
0.015625,0.057292,-6.067867
0.026042,0.057292,-5.970934
0.036458,0.057292,-5.874000
0.046875,0.057292,-5.777067
0.057292,0.057292,-5.680134
0.067708,0.057292,-5.583200
0.078125,0.057292,-5.486267
0.088542,0.057292,-5.389333
0.098958,0.057292,-5.292400
0.109375,0.057292,-5.195467
0.119792,0.057292,-5.098533
0.130208,0.057292,-5.049041
0.140625,0.057292,-5.046990
0.151042,0.057292,-5.044939
0.161458,0.057292,-5.042888
0.171875,0.057292,-5.040836
0.182292,0.057292,-5.038785
0.192708,0.057292,-5.021314
0.203125,0.057292,-4.988423
0.213542,0.057292,-4.955532
0.223958,0.057292,-4.922641
0.234375,0.057292,-4.889750
0.244792,0.057292,-4.856859
0.255208,0.057292,-4.810479
0.265625,0.057292,-4.750610
0.276042,0.057292,-4.690742
0.286458,0.057292,-4.630873
0.296875,0.057292,-4.571004
0.307292,0.057292,-4.511136
0.317708,0.057292,-4.451267
0.328125,0.057292,-4.391398
0.338542,0.057292,-4.331530
0.348958,0.057292,-4.271661
0.359375,0.057292,-4.211792
0.369792,0.057292,-4.151924
0.380208,0.057292,-4.068600
0.390625,0.057292,-3.961823
0.401042,0.057292,-3.855045
0.411458,0.057292,-3.748267
0.421875,0.057292,-3.641490
0.432292,0.057292,-3.534712
0.442708,0.057292,-3.474983
0.453125,0.057292,-3.462303
0.463542,0.057292,-3.449624
0.473958,0.057292,-3.436944
0.484375,0.057292,-3.424264
0.494792,0.057292,-3.411584
0.505208,0.057292,-3.393867
0.515625,0.057292,-3.371113
0.526042,0.057292,-3.348360
0.536458,0.057292,-3.325606
0.546875,0.057292,-3.302852
0.557292,0.057292,-3.280098
0.567708,0.057292,-3.257344
0.578125,0.057292,-3.234590
0.588542,0.057292,-3.211836
0.598958,0.057292,-3.189082
0.609375,0.057292,-3.166328
0.619792,0.057292,-3.143574
0.630208,0.057292,-3.120820
0.640625,0.057292,-3.098066
0.651042,0.057292,-3.075312
0.661458,0.057292,-3.052558
0.671875,0.057292,-3.029804
0.682292,0.057292,-3.007051
0.692708,0.057292,-2.984297
0.703125,0.057292,-2.961543
0.713542,0.057292,-2.938789
0.723958,0.057292,-2.916035
0.734375,0.057292,-2.893281
0.744792,0.057292,-2.870527
0.755208,0.057292,-2.847773
0.765625,0.057292,-2.825019
0.776042,0.057292,-2.802265
0.786458,0.057292,-2.779511
0.796875,0.057292,-2.756757
0.807292,0.057292,-2.734003
0.817708,0.057292,-2.711249
0.828125,0.057292,-2.688495
0.838542,0.057292,-2.665741
0.848958,0.057292,-2.642988
0.859375,0.057292,-2.620234
0.869792,0.057292,-2.597480
0.880208,0.057292,-2.574726
0.890625,0.057292,-2.551972
0.901042,0.057292,-2.529218
0.911458,0.057292,-2.506464
0.921875,0.057292,-2.483710
0.932292,0.057292,-2.460956
0.942708,0.057292,-2.438202
0.953125,0.057292,-2.415448
0.963542,0.057292,-2.392694
0.973958,0.057292,-2.369940
0.984375,0.057292,-2.347186
0.994792,0.057292,-2.324432
0.005208,0.067708,-6.220694
0.015625,0.067708,-6.115695
0.026042,0.067708,-6.010696
0.036458,0.067708,-5.905698
0.046875,0.067708,-5.800699
0.057292,0.067708,-5.695701
0.067708,0.067708,-5.590702
0.078125,0.067708,-5.485703
0.088542,0.067708,-5.380705
0.098958,0.067708,-5.275706
0.109375,0.067708,-5.170707
0.119792,0.067708,-5.065709
0.130208,0.067708,-5.017402
0.140625,0.067708,-5.025788
0.151042,0.067708,-5.034173
0.161458,0.067708,-5.042559
0.171875,0.067708,-5.050945
0.182292,0.067708,-5.059330
0.192708,0.067708,-5.046263
0.203125,0.067708,-5.011742
0.213542,0.067708,-4.977222
0.223958,0.067708,-4.942701
0.234375,0.067708,-4.908180
0.244792,0.067708,-4.873660
0.255208,0.067708,-4.826835
0.265625,0.067708,-4.767707
0.276042,0.067708,-4.708578
0.286458,0.067708,-4.649450
0.296875,0.067708,-4.590321
0.307292,0.067708,-4.531193
0.317708,0.067708,-4.472064
0.328125,0.067708,-4.412936
0.338542,0.067708,-4.353807
0.348958,0.067708,-4.294679
0.359375,0.067708,-4.235550
0.369792,0.067708,-4.176422
0.380208,0.067708,-4.089575
0.390625,0.067708,-3.975008
0.401042,0.067708,-3.860442
0.411458,0.067708,-3.745875
0.421875,0.067708,-3.631309
0.432292,0.067708,-3.516742
0.442708,0.067708,-3.457779
0.453125,0.067708,-3.454420
0.463542,0.067708,-3.451060
0.473958,0.067708,-3.447700
0.484375,0.067708,-3.444340
0.494792,0.067708,-3.440980
0.505208,0.067708,-3.427946
0.515625,0.067708,-3.405236
0.526042,0.067708,-3.382526
0.536458,0.067708,-3.359816
0.546875,0.067708,-3.337107
0.557292,0.067708,-3.314397
0.567708,0.067708,-3.291687
0.578125,0.067708,-3.268977
0.588542,0.067708,-3.246268
0.598958,0.067708,-3.223558
0.609375,0.067708,-3.200848
0.619792,0.067708,-3.178138
0.630208,0.067708,-3.155429
0.640625,0.067708,-3.132719
0.651042,0.067708,-3.110009
0.661458,0.067708,-3.087299
0.671875,0.067708,-3.064589
0.682292,0.067708,-3.041880
0.692708,0.067708,-3.019170
0.703125,0.067708,-2.996460
0.713542,0.067708,-2.973750
0.723958,0.067708,-2.951041
0.734375,0.067708,-2.928331
0.744792,0.067708,-2.905621
0.755208,0.067708,-2.882911
0.765625,0.067708,-2.860202
0.776042,0.067708,-2.837492
0.786458,0.067708,-2.814782
0.796875,0.067708,-2.792072
0.807292,0.067708,-2.769363
0.817708,0.067708,-2.746653
0.828125,0.067708,-2.723943
0.838542,0.067708,-2.701233
0.848958,0.067708,-2.678524
0.859375,0.067708,-2.655814
0.869792,0.067708,-2.633104
0.880208,0.067708,-2.610394
0.890625,0.067708,-2.587684
0.901042,0.067708,-2.564975
0.911458,0.067708,-2.542265
0.921875,0.067708,-2.519555
0.932292,0.067708,-2.496845
0.942708,0.067708,-2.474136
0.953125,0.067708,-2.451426
0.963542,0.067708,-2.428716
0.973958,0.067708,-2.406006
0.984375,0.067708,-2.383297
0.994792,0.067708,-2.360587
0.005208,0.078125,-6.276297
0.015625,0.078125,-6.162654
0.026042,0.078125,-6.049011
0.036458,0.078125,-5.935369
0.046875,0.078125,-5.821726
0.057292,0.078125,-5.708083
0.067708,0.078125,-5.594440
0.078125,0.078125,-5.480797
0.088542,0.078125,-5.367154
0.098958,0.078125,-5.253511
0.109375,0.078125,-5.139868
0.119792,0.078125,-5.026225
0.130208,0.078125,-4.979029
0.140625,0.078125,-4.998281
0.151042,0.078125,-5.017532
0.161458,0.078125,-5.036784
0.171875,0.078125,-5.056036
0.182292,0.078125,-5.075287
0.192708,0.078125,-5.067202
0.203125,0.078125,-5.031781
0.213542,0.078125,-4.996360
0.223958,0.078125,-4.960939
0.234375,0.078125,-4.925517
0.244792,0.078125,-4.890096
0.255208,0.078125,-4.843191
0.265625,0.078125,-4.784803
0.276042,0.078125,-4.726415
0.286458,0.078125,-4.668026
0.296875,0.078125,-4.609638
0.307292,0.078125,-4.551250
0.317708,0.078125,-4.492862
0.328125,0.078125,-4.434473
0.338542,0.078125,-4.376085
0.348958,0.078125,-4.317697
0.359375,0.078125,-4.259309
0.369792,0.078125,-4.200920
0.380208,0.078125,-4.110549
0.390625,0.078125,-3.988194
0.401042,0.078125,-3.865838
0.411458,0.078125,-3.743483
0.421875,0.078125,-3.621128
0.432292,0.078125,-3.498773
0.442708,0.078125,-3.440576
0.453125,0.078125,-3.446536
0.463542,0.078125,-3.452496
0.473958,0.078125,-3.458456
0.484375,0.078125,-3.464416
0.494792,0.078125,-3.470377
0.505208,0.078125,-3.462024
0.515625,0.078125,-3.439358
0.526042,0.078125,-3.416693
0.536458,0.078125,-3.394027
0.546875,0.078125,-3.371362
0.557292,0.078125,-3.348696
0.567708,0.078125,-3.326030
0.578125,0.078125,-3.303365
0.588542,0.078125,-3.280699
0.598958,0.078125,-3.258034
0.609375,0.078125,-3.235368
0.619792,0.078125,-3.212702
0.630208,0.078125,-3.190037
0.640625,0.078125,-3.167371
0.651042,0.078125,-3.144706
0.661458,0.078125,-3.122040
0.671875,0.078125,-3.099374
0.682292,0.078125,-3.076709
0.692708,0.078125,-3.054043
0.703125,0.078125,-3.031378
0.713542,0.078125,-3.008712
0.723958,0.078125,-2.986047
0.734375,0.078125,-2.963381
0.744792,0.078125,-2.940715
0.755208,0.078125,-2.918050
0.765625,0.078125,-2.895384
0.776042,0.078125,-2.872719
0.786458,0.078125,-2.850053
0.796875,0.078125,-2.827387
0.807292,0.078125,-2.804722
0.817708,0.078125,-2.782056
0.828125,0.078125,-2.759391
0.838542,0.078125,-2.736725
0.848958,0.078125,-2.714059
0.859375,0.078125,-2.691394
0.869792,0.078125,-2.668728
0.880208,0.078125,-2.646063
0.890625,0.078125,-2.623397
0.901042,0.078125,-2.600732
0.911458,0.078125,-2.578066
0.921875,0.078125,-2.555400
0.932292,0.078125,-2.532735
0.942708,0.078125,-2.510069
0.953125,0.078125,-2.487404
0.963542,0.078125,-2.464738
0.973958,0.078125,-2.442072
0.984375,0.078125,-2.419407
0.994792,0.078125,-2.396741
0.005208,0.088542,-6.331901
0.015625,0.088542,-6.209614
0.026042,0.088542,-6.087327
0.036458,0.088542,-5.965039
0.046875,0.088542,-5.842752
0.057292,0.088542,-5.720465
0.067708,0.088542,-5.598178
0.078125,0.088542,-5.475890
0.088542,0.088542,-5.353603
0.098958,0.088542,-5.231316
0.109375,0.088542,-5.109029
0.119792,0.088542,-4.986741
0.130208,0.088542,-4.940656
0.140625,0.088542,-4.970774
0.151042,0.088542,-5.000891
0.161458,0.088542,-5.031009
0.171875,0.088542,-5.061126
0.182292,0.088542,-5.091244
0.192708,0.088542,-5.088142
0.203125,0.088542,-5.051820
0.213542,0.088542,-5.015498
0.223958,0.088542,-4.979176
0.234375,0.088542,-4.942854
0.244792,0.088542,-4.906532
0.255208,0.088542,-4.859547
0.265625,0.088542,-4.801899
0.276042,0.088542,-4.744251
0.286458,0.088542,-4.686603
0.296875,0.088542,-4.628955
0.307292,0.088542,-4.571307
0.317708,0.088542,-4.513659
0.328125,0.088542,-4.456011
0.338542,0.088542,-4.398363
0.348958,0.088542,-4.340715
0.359375,0.088542,-4.283067
0.369792,0.088542,-4.225419
0.380208,0.088542,-4.131523
0.390625,0.088542,-4.001379
