x,y,f
0.869792,0.015625,-1.553166
0.880208,0.015625,-1.610431
0.890625,0.015625,-1.667695
0.901042,0.015625,-1.724959
0.911458,0.015625,-1.782223
0.921875,0.015625,-1.839488
0.932292,0.015625,-1.896752
0.942708,0.015625,-1.954016
0.953125,0.015625,-2.011280
0.963542,0.015625,-2.068545
0.973958,0.015625,-2.125809
0.984375,0.015625,-2.183073
0.994792,0.015625,-2.240337
0.005208,0.026042,-3.975620
0.015625,0.026042,-3.836041
0.026042,0.026042,-3.696461
0.036458,0.026042,-3.556881
0.046875,0.026042,-3.417302
0.057292,0.026042,-3.277722
0.067708,0.026042,-3.138143
0.078125,0.026042,-2.998563
0.088542,0.026042,-2.858984
0.098958,0.026042,-2.719404
0.109375,0.026042,-2.579825
0.119792,0.026042,-2.440245
0.130208,0.026042,-2.221156
0.140625,0.026042,-1.922558
0.151042,0.026042,-1.623959
0.161458,0.026042,-1.325360
0.171875,0.026042,-1.026762
0.182292,0.026042,-0.728163
0.192708,0.026042,-0.429564
0.203125,0.026042,-0.130966
0.213542,0.026042,0.167633
0.223958,0.026042,0.466231
0.234375,0.026042,0.764830
0.244792,0.026042,1.063429
0.255208,0.026042,1.198702
0.265625,0.026042,1.170649
0.276042,0.026042,1.142596
0.286458,0.026042,1.114543
0.296875,0.026042,1.086490
0.307292,0.026042,1.058437
0.317708,0.026042,1.030385
0.328125,0.026042,1.002332
0.338542,0.026042,0.974279
0.348958,0.026042,0.946226
0.359375,0.026042,0.918173
0.369792,0.026042,0.890120
0.380208,0.026042,0.862067
0.390625,0.026042,0.834015
0.401042,0.026042,0.805962
0.411458,0.026042,0.777909
0.421875,0.026042,0.749856
0.432292,0.026042,0.721803
0.442708,0.026042,0.693750
0.453125,0.026042,0.665698
0.463542,0.026042,0.637645
0.473958,0.026042,0.609592
0.484375,0.026042,0.581539
0.494792,0.026042,0.553486
0.505208,0.026042,0.511453
0.515625,0.026042,0.455441
0.526042,0.026042,0.399428
0.536458,0.026042,0.343415
0.546875,0.026042,0.287402
0.557292,0.026042,0.231390
0.567708,0.026042,0.175377
0.578125,0.026042,0.119364
0.588542,0.026042,0.063351
0.598958,0.026042,0.007339
0.609375,0.026042,-0.048674
0.619792,0.026042,-0.104687
0.630208,0.026042,-0.160700
0.640625,0.026042,-0.216712
0.651042,0.026042,-0.272725
0.661458,0.026042,-0.328738
