x,y,state
0.250000,0.484375,0
0.265625,0.484375,1
0.257812,0.484375,2
0.046875,0.453125,2
0.312500,0.390625,1
0.312500,0.250000,1
0.312500,0.281250,0
0.312500,0.296875,2
0.253906,0.437500,1
0.187500,0.453125,1
0.054688,0.484375,2
0.121094,0.468750,1
0.253906,0.468750,2
0.121094,0.500000,2
0.250000,0.257812,0
0.375000,0.375000,1
0.109375,0.437500,1
0.253906,0.421875,2
0.054688,0.468750,2
0.187500,0.437500,1
0.121094,0.453125,1
0.250000,0.406250,0
0.117188,0.437500,1
0.250000,0.625000,1
0.062500,0.390625,1
0.125000,0.375000,1
0.031250,0.429688,2
0.187500,0.281250,0
0.875000,1.000000,1
0.000000,0.441406,0
0.125000,0.312500,2
0.248047,1.000000,1
0.273438,0.484375,1
0.000000,1.000000,0
0.125000,0.460938,1
0.375000,0.593750,0
0.242188,0.625000,1
0.109375,0.390625,2
0.375000,0.328125,2
0.562500,0.375000,2
0.031250,0.500000,0
0.296875,0.437500,2
0.312500,0.234375,2
0.312500,0.265625,0
0.250000,0.265625,0
0.244141,0.468750,2
0.125000,0.304688,2
0.109375,0.500000,0
0.375000,0.437500,1
0.242188,0.468750,1
0.187500,0.265625,1
0.246094,0.500000,0
0.246094,0.625000,0
0.250000,0.414062,0
0.281250,0.414062,1
0.187500,0.414062,2
0.250000,0.750000,0
0.246094,0.496094,2
0.312500,0.421875,1
0.046875,0.484375,0
0.125000,0.265625,2
0.248047,0.492188,1
0.281250,0.484375,1
0.246094,0.750000,1
1.000000,0.062500,1
0.244141,0.750000,2
0.265625,0.414062,1
0.312500,0.375000,2
0.248047,0.496094,1
0.109375,0.421875,1
0.375000,0.359375,2
0.125000,0.453125,1
0.257812,0.421875,1
0.273438,1.000000,0
0.937500,0.843750,2
0.265625,0.492188,1
0.250000,0.492188,1
0.156250,0.265625,0
0.187500,0.234375,1
0.312500,0.453125,1
0.246094,0.468750,1
1.000000,0.578125,0
0.265625,0.496094,0
0.375000,0.421875,1
0.242188,0.453125,1
0.242188,0.562500,1
0.109375,0.468750,1
0.375000,0.406250,1
0.242188,0.437500,1
0.248047,0.500000,0
0.281250,0.492188,2
0.500000,0.359375,0
0.234375,0.421875,1
0.250000,0.496094,0
0.312500,0.437500,1
0.046875,0.500000,0
0.246094,0.453125,1
0.244141,0.492188,0
0.250000,1.000000,0
0.242188,0.492188,2
0.593750,0.875000,0
0.062500,1.000000,0
0.187500,0.460938,1
0.253906,0.445312,0
0.250000,0.445312,1
0.187500,0.257812,0
0.242188,0.476562,2
0.375000,0.445312,0
0.500000,0.445312,2
0.562500,0.453125,2
0.187500,0.421875,1
0.121094,0.437500,1
0.109375,0.406250,1
0.265625,0.625000,2
0.093750,0.390625,1
0.062500,0.375000,0
0.125000,0.359375,1
0.054688,1.000000,0
0.246094,0.445312,2
0.125000,0.367188,2
0.247070,0.500000,1
0.093750,0.406250,1
0.247070,0.625000,1
0.625000,0.406250,2
0.247070,0.750000,2
0.257812,0.441406,1
0.265625,0.445312,1
0.062500,0.367188,2
