wala,wac,n0,k_term
248.0,6.793,29,0
247.0,5.63,125,1
246.0,6.087,343,4
246.0,6.449,249,0
246.0,6.818,56,0
245.0,5.676,47,0
245.0,6.051,177,2
245.0,6.435,265,1
245.0,6.815,46,0
244.0,5.642,79,0
244.0,6.063,235,1
244.0,6.451,163,2
244.0,6.824,61,0
243.0,5.65,78,1
243.0,6.039,246,2
243.0,6.397,280,1
243.0,6.812,47,0
243.0,5.659,46,0
242.0,6.038,185,0
242.0,6.418,348,2
242.0,6.83,78,1
243.0,5.683,25,0
241.0,6.061,100,2
241.0,6.459,377,8
241.0,6.833,122,0
241.0,6.06,52,0
240.0,6.512,250,4
240.0,6.85,169,1
239.0,6.574,205,1
239.0,6.892,195,2
239.0,7.32,26,0
238.0,6.61,173,0
238.0,6.94,197,4
237.0,6.127,35,0
237.0,6.564,191,3
237.0,6.918,147,1
236.0,6.106,96,1
236.0,6.523,248,3
236.0,6.874,140,1
237.0,7.322,27,0
235.0,6.109,81,0
235.0,6.468,234,4
235.0,6.876,100,0
234.0,6.095,160,1
234.0,6.473,241,1
234.0,6.9,83,1
233.0,6.071,156,0
233.0,6.469,225,2
233.0,6.889,71,2
232.0,6.078,162,1
232.0,6.472,197,2
232.0,6.883,73,0
231.0,6.1,154,2
230.0,6.466,231,2
231.0,6.914,64,0
230.0,6.063,180,2
230.0,6.471,379,6
230.0,6.875,94,0
229.0,6.854,117,1
229.0,5.998,159,3
229.0,6.433,478,8
228.0,5.991,109,0
228.0,6.396,400,4
228.0,6.847,228,4
228.0,5.994,68,0
227.0,6.484,401,3
227.0,6.873,371,3
226.0,7.338,25,0
226.0,6.583,270,2
226.0,6.911,324,2
226.0,7.353,49,1
225.0,6.558,298,3
225.0,6.909,383,3
225.0,7.33,48,1
224.0,6.129,69,0
224.0,6.53,343,3
224.0,6.905,258,3
224.0,7.282,33,2
223.0,6.117,111,0
223.0,6.531,393,3
223.0,6.885,301,4
223.0,7.36,27,0
222.0,6.056,187,1
222.0,6.505,343,1
222.0,6.91,245,0
221.0,5.633,39,0
220.0,6.004,221,2
221.0,6.508,297,4
221.0,6.884,187,3
219.0,5.517,112,0
219.0,5.932,537,9
220.0,6.472,244,1
220.0,6.903,128,2
219.0,5.543,168,1
218.0,5.914,708,9
219.0,6.437,269,2
220.0,6.894,120,0
218.0,5.615,167,1
218.0,5.941,714,4
218.0,6.456,383,1
219.0,6.908,133,0
218.0,5.556,158,0
218.0,5.931,1059,3
219.0,6.424,444,5
218.0,6.882,142,1
226.0,4.967,38,1
217.0,5.526,94,1
216.0,5.907,848,5
216.0,6.354,624,4
217.0,6.854,195,0
215.0,5.468,47,0
215.0,5.913,443,5
215.0,6.379,752,0
215.0,6.842,560,5
214.0,7.318,26,0
219.0,5.43,28,0
215.0,5.958,218,1
214.0,6.416,691,7
214.0,6.847,636,4
216.0,7.324,77,0
214.0,5.413,25,0
213.0,6.024,251,3
213.0,6.544,668,7
213.0,6.878,537,1
213.0,7.34,71,1
212.0,5.418,43,0
211.0,5.974,427,2
212.0,6.541,480,2
212.0,6.91,302,1
212.0,7.339,41,0
211.0,5.589,65,0
211.0,6.032,354,2
211.0,6.567,476,7
212.0,6.985,204,2
210.0,5.082,48,0
210.0,5.564,219,1
210.0,6.033,517,2
210.0,6.602,372,3
210.0,6.961,129,2
208.0,4.993,252,0
209.0,5.537,394,3
209.0,6.021,278,0
209.0,6.54,137,0
209.0,6.906,55,0
211.0,4.534,58,0
208.0,4.963,596,5
208.0,5.489,499,3
208.0,5.962,142,2
211.0,6.503,61,0
209.0,6.867,42,0
207.0,4.555,67,2
206.0,4.963,858,7
206.0,5.452,622,3
207.0,5.962,124,2
210.0,6.511,36,0
209.0,6.915,25,0
205.0,4.559,155,1
205.0,4.948,1868,15
206.0,5.417,749,6
207.0,5.928,151,1
215.0,6.47,28,0
205.0,4.403,232,0
204.0,4.857,2507,12
204.0,5.316,1353,8
208.0,5.918,114,0
204.0,4.418,249,0
204.0,4.88,3640,27
206.0,5.346,1446,5
225.0,5.898,423,4
251.0,6.489,116,1
267.0,6.996,105,0
203.0,4.403,144,2
203.0,4.904,2103,17
202.0,5.377,2204,19
202.0,5.844,779,5
208.0,6.415,36,0
202.0,4.42,64,0
202.0,4.97,1183,6
201.0,5.407,2684,20
202.0,5.85,769,10
204.0,6.425,51,0
201.0,4.495,47,0
201.0,4.985,1259,7
200.0,5.398,3457,30
201.0,5.846,777,6
206.0,6.44,53,0
200.0,4.541,70,0
199.0,4.934,1495,9
199.0,5.351,3597,28
201.0,5.84,543,2
205.0,6.512,42,0
199.0,4.438,102,1
198.0,4.919,2519,8
198.0,5.327,4575,32
200.0,5.841,342,3
198.0,4.434,109,1
198.0,4.902,2610,20
198.0,5.314,4192,24
199.0,5.838,256,1
209.0,6.461,31,1
197.0,4.385,78,0
197.0,4.895,2560,15
197.0,5.297,2827,17
202.0,5.862,187,2
196.0,4.478,75,0
196.0,4.933,1556,15
196.0,5.298,2573,23
198.0,5.84,163,0
196.0,4.437,63,0
195.0,4.924,2124,10
195.0,5.292,3445,23
196.0,5.817,113,0
194.0,4.453,83,1
194.0,4.928,2563,20
194.0,5.293,3600,14
197.0,5.818,125,2
240.0,6.454,46,0
247.0,6.974,32,0
193.0,4.509,69,0
193.0,4.933,2443,11
192.0,5.0,35,0
193.0,5.292,4174,30
199.0,5.836,147,0
233.0,6.474,46,0
191.0,4.517,192,0
192.0,4.914,3395,17
192.0,5.285,3070,17
197.0,5.829,180,0
225.0,6.443,28,0
229.0,6.905,29,0
190.0,4.518,584,3
191.0,4.853,3623,20
191.0,5.283,1901,17
209.0,5.896,121,3
228.0,6.459,55,0
192.0,4.056,60,0
189.0,4.486,1820,13
190.0,4.83,4248,25
191.0,5.298,709,8
211.0,5.918,63,0
224.0,6.461,42,0
189.0,3.979,68,0
188.0,4.415,3461,26
189.0,4.826,2759,12
196.0,5.332,341,3
238.0,5.949,109,0
242.0,6.462,48,0
248.0,6.977,35,0
187.0,4.052,165,0
187.0,4.373,4694,32
188.0,4.802,2033,17
191.0,5.347,201,4
232.0,5.996,44,1
277.0,6.992,26,0
242.0,6.53,25,0
186.0,3.989,436,0
187.0,4.34,5252,25
187.0,4.812,1745,11
192.0,5.342,175,1
220.0,5.947,46,0
292.0,6.989,27,0
