wala,wac,n0,k_term
313.0,7.75,1680.0,1667
313.0,8.313,8598.0,8495
312.0,8.765,18393.0,18332
311.0,8.353,7254.0,7229
311.0,8.762,11249.0,11220
311.0,6.5,55.0,53
322.0,7.0,157.0,154
310.0,8.326,8895.0,8848
311.0,8.71,10306.0,10276
309.0,7.643,1727.0,1714
310.0,8.329,6094.0,6052
310.0,8.811,13029.0,12976
310.0,7.816,960.0,954
309.0,8.295,14746.0,14686
309.0,8.769,23574.0,23423
308.0,7.826,3604.0,3588
309.0,8.315,28417.0,28281
310.0,8.789,33311.0,33181
307.0,6.5,62.0,60
307.0,7.627,592.0,587
306.0,7.94,9003.0,8988
307.0,8.292,30042.0,29886
307.0,8.799,18687.0,18650
306.0,7.25,572.0,565
306.0,7.829,9409.0,9374
306.0,8.29,28820.0,28636
306.0,8.786,11283.0,11249
309.0,7.183,628.0,623
305.0,7.815,16016.0,15886
305.0,8.29,27242.0,27041
305.0,8.799,11901.0,11820
319.0,6.25,40.0,40
306.0,7.307,1828.0,1800
304.0,7.806,21237.0,20950
304.0,8.27,20449.0,20360
304.0,8.748,11890.0,11839
302.0,6.875,1639.0,1609
302.0,7.317,9351.0,9245
303.0,7.768,20534.0,20366
303.0,8.29,15588.0,15477
304.0,8.698,6621.0,6584
302.0,6.375,136.0,132
302.0,6.847,8085.0,7993
302.0,7.308,24798.0,24513
302.0,7.784,19440.0,19261
302.0,8.236,10027.0,9984
303.0,8.969,4199.0,4190
300.0,6.392,296.0,290
301.0,6.789,12818.0,12496
301.0,7.28,35430.0,35108
301.0,7.779,19615.0,19388
302.0,8.286,6515.0,6476
303.0,8.707,2252.0,2240
299.0,6.375,521.0,510
300.0,6.813,10437.0,10238
300.0,7.263,27318.0,26849
300.0,7.765,14409.0,14277
301.0,8.352,4555.0,4531
316.0,8.5,1757.0,1746
298.0,6.375,192.0,187
299.0,6.823,9551.0,9407
299.0,7.304,33712.0,33214
299.0,7.746,15416.0,15325
300.0,8.212,2839.0,2821
300.0,6.375,46.0,42
298.0,6.838,6377.0,6263
298.0,7.301,36171.0,35847
298.0,7.753,16658.0,16504
300.0,8.276,3118.0,3103
304.0,8.661,883.0,877
297.0,6.794,4344.0,4253
297.0,7.29,37296.0,36596
297.0,7.772,18320.0,18188
297.0,8.2,3413.0,3385
302.0,8.75,695.0,688
296.0,6.0,148.0,139
296.0,6.786,5996.0,5899
296.0,7.295,40600.0,40102
296.0,7.757,19696.0,19556
296.0,8.249,4730.0,4678
296.0,6.23,132.0,128
295.0,6.85,8517.0,8351
295.0,7.286,34105.0,33575
295.0,7.767,15791.0,15598
297.0,8.196,2545.0,2539
294.0,8.875,1157.0,1153
293.0,6.297,400.0,378
293.0,6.808,19541.0,19328
294.0,7.252,23318.0,23056
294.0,7.742,9883.0,9773
300.0,8.212,2492.0,2480
293.0,6.279,2017.0,1948
293.0,6.803,26723.0,26410
293.0,7.262,15061.0,14922
295.0,7.778,5131.0,5075
293.0,8.25,730.0,726
292.0,5.75,40.0,37
292.0,6.313,3210.0,3168
292.0,6.789,27108.0,26436
292.0,7.28,14742.0,14606
292.0,7.743,5536.0,5487
296.0,8.5,291.0,286
291.0,6.25,125.0,124
291.0,6.282,2294.0,2222
291.0,6.785,16064.0,15874
291.0,7.26,19151.0,18916
291.0,7.72,7166.0,7100
297.0,8.118,1211.0,1207
292.0,6.107,505.0,478
290.0,6.805,10625.0,10375
290.0,7.245,22666.0,22407
291.0,7.735,7006.0,6926
306.0,8.287,1364.0,1350
289.0,6.253,296.0,292
289.0,6.795,12056.0,11779
289.0,7.284,18477.0,18276
291.0,7.68,6291.0,6214
289.0,8.0,597.0,590
314.0,8.75,143.0,142
288.0,6.229,255.0,252
288.0,6.801,11488.0,11269
288.0,7.271,26531.0,26276
288.0,7.75,9541.0,9466
289.0,5.918,119.0,115
291.0,6.24,448.0,436
287.0,6.802,7205.0,7089
287.0,7.282,24207.0,23646
287.0,7.732,9343.0,9178
287.0,8.148,1099.0,1095
287.0,6.345,198.0,190
286.0,6.836,12509.0,12274
286.0,7.262,23347.0,23057
286.0,7.68,7278.0,7184
286.0,8.12,1410.0,1386
285.0,6.371,477.0,470
284.0,6.79,21122.0,20695
285.0,7.267,23918.0,23571
286.0,7.626,5623.0,5538
283.0,6.34,3377.0,3267
284.0,6.783,31517.0,30424
284.0,7.261,14246.0,13917
286.0,7.78,2373.0,2345
291.0,5.49,38.0,36
284.0,5.766,129.0,128
282.0,6.321,10502.0,10311
283.0,6.768,24643.0,24037
283.0,7.273,6492.0,6386
286.0,7.844,1283.0,1280
281.0,5.856,472.0,452
282.0,6.281,14126.0,13742
282.0,6.767,17418.0,17128
283.0,7.237,4106.0,4029
283.0,7.875,551.0,547
281.0,5.817,1540.0,1490
281.0,6.278,17573.0,17074
281.0,6.749,10926.0,10683
284.0,7.235,3417.0,3372
286.0,7.685,656.0,654
281.0,5.223,130.0,124
280.0,5.797,2230.0,2085
280.0,6.263,24667.0,23613
280.0,6.775,10273.0,10104
281.0,7.296,1669.0,1647
284.0,7.86,414.0,410
298.0,8.0,189.0,188
279.0,5.566,35.0,34
279.0,5.848,3570.0,3489
279.0,6.255,22437.0,21702
279.0,6.745,8988.0,8885
281.0,7.188,1946.0,1896
287.0,7.665,527.0,519
280.0,4.93,39.0,37
279.0,5.321,175.0,165
278.0,5.831,5028.0,4807
278.0,6.283,22625.0,22129
279.0,6.737,6103.0,5978
279.0,7.258,1172.0,1163
278.0,7.75,100.0,100
276.0,5.75,120.0,115
276.0,5.811,9989.0,9711
277.0,6.257,20509.0,19613
278.0,6.729,4329.0,4260
283.0,7.591,223.0,221
301.0,8.5,103.0,101
275.0,5.322,156.0,142
276.0,5.805,13198.0,12666
276.0,6.27,18289.0,17854
277.0,6.798,2984.0,2938
278.0,7.364,346.0,345
278.0,4.862,163.0,154
276.0,5.296,677.0,654
275.0,5.811,19898.0,18915
275.0,6.261,17062.0,16501
277.0,6.731,2226.0,2212
279.0,7.228,546.0,531
273.0,4.625,35.0,32
274.0,5.196,1190.0,1144
274.0,5.57,14465.0,13770
274.0,5.925,28789.0,26650
275.0,6.405,5386.0,5282
274.0,6.866,591.0,581
274.0,7.375,168.0,166
275.0,4.501,126.0,114
273.0,5.082,3606.0,3298
273.0,5.407,22857.0,20965
273.0,5.848,22854.0,21833
274.0,6.359,3695.0,3555
275.0,6.855,497.0,477
275.0,7.5,224.0,222
272.0,5.103,2768.0,2448
272.0,5.401,21115.0,19900
272.0,5.869,19398.0,18910
272.0,6.386,4229.0,4087
271.0,6.828,705.0,686
272.0,3.966,83.0,74
273.0,4.546,277.0,235
272.0,5.059,1343.0,1257
271.0,5.424,15171.0,14037
271.0,5.969,21583.0,21293
271.0,6.463,11684.0,11268
271.0,6.869,1946.0,1928
271.0,7.331,269.0,267
272.0,5.1,379.0,360
271.0,5.435,3677.0,3529
270.0,5.968,16848.0,16274
270.0,6.44,17881.0,17579
270.0,6.827,3985.0,3917
270.0,7.293,312.0,307
272.0,3.947,26.0,19
272.0,4.544,139.0,117
271.0,4.988,285.0,263
270.0,5.495,2878.0,2671
269.0,5.909,15915.0,15435
269.0,6.392,15943.0,15537
270.0,6.85,2473.0,2434
270.0,7.399,254.0,250
269.0,5.184,163.0,156
269.0,5.542,2489.0,2376
268.0,5.929,20830.0,19813
268.0,6.364,18178.0,17743
268.0,6.856,1840.0,1797
268.0,7.25,103.0,102
273.0,3.99,28.0,24
272.0,4.601,111.0,95
270.0,4.991,438.0,416
268.0,5.625,3260.0,3136
267.0,5.92,15548.0,15099
